,index,spotify_artist_id,list_original_name,music_story_id,instagram_url,instagram_username,facebook_url,facebook_username,twitter_url,twitter_username,instagram_followers,instagram_data
221,510,5lHRUCqkQZCIWeX7xG4sYT,"""Rich Homie Quan""",4561059,https://www.instagram.com/rich._.homie._.quan,rich._.homie._.quan,,,,,4,"{'pk': '1535126015', 'username': 'rich._.homie._.quan', 'full_name': 'Rich Homie Quan', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/10735154_589396817849982_1015629106_a.jpg?_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=CxkjtmnB2dAAX95ASoW&edm=AHG7ALcBAAAA&ccb=7-4&oh=fe8e25cb7ca801b7da550ab4abc5ae28&oe=60B172C9&_nc_sid=5cbaad', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '1535126015'}"
540,1066,1avL1hvvSnr1BOVKMpq1cE,"""Ken Floor""",,https://www.instagram.com/ken.floor,ken.floor,,,,,7,"{'pk': '4164777594', 'username': 'ken.floor', 'full_name': 'Ken Floor', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/14624240_185199115273776_4774135266543665152_a.jpg?_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=isF6BkUw3DEAX-LcKyu&edm=AHG7ALcBAAAA&ccb=7-4&oh=a518611c5017f5fd3035d2d929e25f20&oe=60B0BEE2&_nc_sid=5cbaad', 'profile_pic_id': '1385889078154871957_4164777594', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '4164777594'}"
709,710,6sFHvCyqklnJpXC9Nh1aag,"""Alexander 23""",4727554,http://www.instagram.com/alexander23lol,alexander23lol,,,,,12,"{'biography': 'Follow @alexander23', 'blocked_by_viewer': False, 'restricted_by_viewer': False, 'country_block': False, 'external_url': None, 'external_url_linkshimmed': None, 'edge_followed_by': {'count': 12}, 'fbid': '17841446780665011', 'followed_by_viewer': False, 'edge_follow': {'count': 1}, 'follows_viewer': False, 'full_name': '', 'has_ar_effects': False, 'has_clips': False, 'has_guides': False, 'has_channel': False, 'has_blocked_viewer': False, 'highlight_reel_count': 0, 'has_requested_viewer': False, 'id': '46680095355', 'is_business_account': False, 'is_professional_account': False, 'is_joined_recently': False, 'business_category_name': None, 'overall_category_name': None, 'category_enum': None, 'category_name': None, 'is_private': False, 'is_verified': False, 'edge_mutual_followed_by': {'count': 0, 'edges': []}, 'profile_pic_url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_ohc=a25KrB-CGvQAX9-gaA1&edm=AL4D0a4AAAAA&ccb=7-4&oh=4d31b259e78810d9c3683be09304bfe3&oe=6098DA8F&_nc_sid=712cc3&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-4', 'profile_pic_url_hd': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_ohc=a25KrB-CGvQAX9-gaA1&edm=AL4D0a4AAAAA&ccb=7-4&oh=4d31b259e78810d9c3683be09304bfe3&oe=6098DA8F&_nc_sid=712cc3&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-4', 'requested_by_viewer': False, 'should_show_category': False, 'username': 'alexander23lol', 'connected_fb_page': None, 'edge_felix_video_timeline': {'count': 0, 'page_info': {'has_next_page': False, 'end_cursor': None}, 'edges': []}, 'edge_owner_to_timeline_media': {'count': 0, 'page_info': {'has_next_page': False, 'end_cursor': None}, 'edges': []}, 'edge_saved_media': {'count': 0, 'page_info': {'has_next_page': False, 'end_cursor': None}, 'edges': []}, 'edge_media_collections': {'count': 0, 'page_info': {'has_next_page': False, 'end_cursor': None}, 'edges': []}}"
412,859,4YNxH9hXMuqlvG7rLTtLa1,"""Badpojken""",4580117,https://www.instagram.com/badpojken,badpojken,,,,,15,"{'pk': '3563711504', 'username': 'badpojken', 'full_name': 'Tot❤️ifk❤️ Youtube rassegaming', 'is_private': True, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/s150x150/13652072_1138415006232027_170466878_a.jpg?tp=1&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=47tpMKg0q0oAX-vBSX0&edm=AHG7ALcBAAAA&ccb=7-4&oh=86c5eeb1dd591ef8acdc18c04ad55810&oe=60AF8A82&_nc_sid=5cbaad', 'profile_pic_id': '1302452382294132662_3563711504', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': True, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '3563711504'}"
452,928,2cFCoDyEaPrw8QVnrDlPKU,"""Stan Kenton""",,https://www.instagram.com/kenton_stan,kenton_stan,,,,,21,"{'pk': '1150091379', 'username': 'kenton_stan', 'full_name': 'Stan Kenton', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/11428707_874576389291770_1160148756_a.jpg?_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=9-l4nvAUo-kAX8da1UG&edm=AHG7ALcBAAAA&ccb=7-4&oh=473ef7939857f24908ab334f9f366a9b&oe=60AF4E9F&_nc_sid=5cbaad', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '1150091379'}"
309,676,6HUm6AHJE0oisACMN6NNJ5,"""Faul & Wad Ad""",4556219,https://www.instagram.com/themontainblues,themontainblues,,,,,22,"{'pk': '897385391', 'username': 'themontainblues', 'full_name': 'Faul & Wad Ad vs Pnau.', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/11930993_654852931317681_1256716663_a.jpg?_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=nNgjm-b5DvUAX9vt7ow&edm=AHG7ALcBAAAA&ccb=7-4&oh=9288ff5ad2319d05e44d7d1039c0c2a6&oe=60B15E79&_nc_sid=5cbaad', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '897385391'}"
124,333,7juKTDFlPesGeWQ1GmjmOv,"""SilentÃ³""",4567097,https://www.instagram.com/silenta3,silenta3,,,,,26,"{'pk': '44584212411', 'username': 'silenta3', 'full_name': '', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/s150x150/129201563_744809403098743_3637882404122144563_n.jpg?tp=1&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=EETeGpsLsJAAX-t56iI&edm=AHG7ALcBAAAA&ccb=7-4&oh=763908ae785390a7c757630e08dce13c&oe=60B12FA7&_nc_sid=5cbaad', 'profile_pic_id': '2456013472199877222_44584212411', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '44584212411'}"
316,317,20gsENnposVs2I4rQ5kvrf,"""Sam Feldt""",4570259,http://instagram.com/samfeldtmusic,samfeldtmusic,,,,,30,"{'biography': '', 'blocked_by_viewer': False, 'restricted_by_viewer': False, 'country_block': False, 'external_url': None, 'external_url_linkshimmed': None, 'edge_followed_by': {'count': 30}, 'fbid': '17841445977559895', 'followed_by_viewer': False, 'edge_follow': {'count': 1}, 'follows_viewer': False, 'full_name': '', 'has_ar_effects': False, 'has_clips': False, 'has_guides': False, 'has_channel': False, 'has_blocked_viewer': False, 'highlight_reel_count': 0, 'has_requested_viewer': False, 'id': '45919164585', 'is_business_account': False, 'is_professional_account': False, 'is_joined_recently': False, 'business_category_name': None, 'overall_category_name': None, 'category_enum': None, 'category_name': None, 'is_private': False, 'is_verified': False, 'edge_mutual_followed_by': {'count': 0, 'edges': []}, 'profile_pic_url': 'https://instagram.fisb9-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fisb9-1.fna.fbcdn.net&_nc_ohc=a25KrB-CGvQAX9sgHmF&edm=AJ9x6zYAAAAA&ccb=7-4&oh=dd6b9c457f13962e412859c87d4ed531&oe=6098DA8F&_nc_sid=cff2a4&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-4', 'profile_pic_url_hd': 'https://instagram.fisb9-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fisb9-1.fna.fbcdn.net&_nc_ohc=a25KrB-CGvQAX9sgHmF&edm=AJ9x6zYAAAAA&ccb=7-4&oh=dd6b9c457f13962e412859c87d4ed531&oe=6098DA8F&_nc_sid=cff2a4&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-4', 'requested_by_viewer': False, 'should_show_category': False, 'username': 'samfeldtmusic', 'connected_fb_page': None, 'edge_felix_video_timeline': {'count': 0, 'page_info': {'has_next_page': False, 'end_cursor': None}, 'edges': []}, 'edge_owner_to_timeline_media': {'count': 0, 'page_info': {'has_next_page': False, 'end_cursor': None}, 'edges': []}, 'edge_saved_media': {'count': 0, 'page_info': {'has_next_page': False, 'end_cursor': None}, 'edges': []}, 'edge_media_collections': {'count': 0, 'page_info': {'has_next_page': False, 'end_cursor': None}, 'edges': []}}"
427,887,0IsDyC7yhWO36zl3qlFzGH,"""Don Khuma""",,https://www.instagram.com/khu_maple,khu_maple,,,,,32,"{'pk': '25074639330', 'username': 'khu_maple', 'full_name': '메로나 : 경희대학교 메이플 동아리', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/s150x150/74609532_819213311831072_2707221605834031104_n.jpg?tp=1&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=in90WiLEMdoAX_Km_fa&edm=AHG7ALcBAAAA&ccb=7-4&oh=5bd59bad8a6e499a5bad48f5939f7ed4&oe=60B141A9&_nc_sid=5cbaad', 'profile_pic_id': '2187492803336384867_25074639330', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '25074639330'}"
360,774,4JbmXqez7WvTggoxn3UpVT,"""Ghost Town DJs""",4676099,https://www.instagram.com/ghosttowndjs,ghosttowndjs,,,,,35,"{'pk': '212892678', 'username': 'ghosttowndjs', 'full_name': '', 'is_private': True, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/10838836_1508577946070043_485843384_a.jpg?_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=lHPCJ_7TLn4AX8X4mKg&edm=AHG7ALcBAAAA&ccb=7-4&oh=821dd840c0f689c4fe95d7e92461988a&oe=60B2340A&_nc_sid=5cbaad', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': True, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '212892678'}"
503,1004,5Pcez7u1H2Po6e2LmMdF3f,"""Allyawan""",4476748,https://www.instagram.com/allyawan,allyawan,,,,,39,"{'pk': '2899029166', 'username': 'allyawan', 'full_name': 'ALLYAWAN👑', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/s150x150/12677676_743556522440940_99253815_a.jpg?tp=1&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=jWdPbUj8e7MAX8Pw6qG&edm=AHG7ALcBAAAA&ccb=7-4&oh=92e9a967906f7e8765a52cce2eb618f0&oe=60AFECEE&_nc_sid=5cbaad', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '2899029166'}"
172,430,4LcUpNlXFEleaLlelmkv2R,"""Kris Kross Amsterdam""",105390,https://www.instagram.com/cutestxkriskrossamsterdam,cutestxkriskrossamsterdam,,,,,56,"{'pk': '8494361936', 'username': 'cutestxkriskrossamsterdam', 'full_name': '✞ 𝐊𝐑𝐈𝐒 𝐊𝐑𝐎𝐒𝐒 𝐀𝐌𝐒𝐓𝐄𝐑𝐃𝐀𝐌 ✞', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/s150x150/128431857_435071351230826_4573466033931070520_n.jpg?tp=1&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=3qqgh2BHkPMAX9slGLS&edm=AHG7ALcBAAAA&ccb=7-4&oh=1b9db881f34e6a9f2ea98790a79381e4&oe=60B27A83&_nc_sid=5cbaad', 'profile_pic_id': '2454727128295824996_8494361936', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '8494361936'}"
189,456,71jSVPQ6yskfyvWeiwvT5s,"""S1mba""",,https://www.instagram.com/s1mba,s1mba,,,,,59,"{'pk': '1834263649', 'username': 's1mba', 'full_name': 'Simba', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/s150x150/12822457_521381611366718_1131892988_a.jpg?tp=1&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=_bUsrZp_g2IAX-AbiWE&edm=AHG7ALcBAAAA&ccb=7-4&oh=297fe548aab4737e763fe877198fccc1&oe=60B095AF&_nc_sid=5cbaad', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '1834263649'}"
336,727,5nSAh3wlH7VaqpnkiMjzDs,"""WSTRN""",4596905,https://www.instagram.com/wstrn,wstrn,,,,,60,"{'pk': '4149820463', 'username': 'wstrn', 'full_name': '', 'is_private': True, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/s150x150/30078514_797674997098936_289473004679725056_n.jpg?tp=1&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=oBgcGkQmNuUAX-WBFY1&edm=AHG7ALcBAAAA&ccb=7-4&oh=8e234fb7b7ccbba4aa18f0de1c57de5a&oe=60B0D7D3&_nc_sid=5cbaad', 'profile_pic_id': '1756125574717734431_4149820463', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': True, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '4149820463'}"
165,412,7nKeLE1toRtW4M279iS26h,"""Zay Hilfigerrr""",,https://www.instagram.com/zay.hilfigerrr,zay.hilfigerrr,,,,,60,"{'pk': '3661521226', 'username': 'zay.hilfigerrr', 'full_name': 'Z Hilfigerrr', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/s150x150/14240636_2109333759291955_924713746_a.jpg?tp=1&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=8ErFV2ypr60AX_WgWdL&edm=AHG7ALcBAAAA&ccb=7-4&oh=135672a4cfdaf8c9452a44431db55bf2&oe=60B0C149&_nc_sid=5cbaad', 'profile_pic_id': '1336655120272546895_3661521226', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '3661521226'}"
422,878,7x8MuRMbm9XIldHSJOtoNo,"""22 Savage""",,https://www.instagram.com/iam.22savage_,iam.22savage_,,,,,62,"{'pk': '4341582613', 'username': 'iam.22savage_', 'full_name': '22 Savage', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/s150x150/14574043_1858785604358254_4250470421201158144_a.jpg?tp=1&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=UArVDdU_Ua8AX-0N9v6&edm=AHG7ALcBAAAA&ccb=7-4&oh=1af17326c0ae8f671fd16a7bf499b068&oe=60B1CBF9&_nc_sid=5cbaad', 'profile_pic_id': '1417178300119507768_4341582613', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '4341582613'}"
312,679,46mGxneffUCmDhMU1m6zYu,"""Martin Tungevaag""",,https://www.instagram.com/martintungevaagofficial,martintungevaagofficial,,,,,66,"{'pk': '3038848436', 'username': 'martintungevaagofficial', 'full_name': 'Martin Tungevaag', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/s150x150/12825764_1967034086854168_413964302_a.jpg?tp=1&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=8AkF7hcprkcAX-8L7vQ&edm=AHG7ALcBAAAA&ccb=7-4&oh=873da1152de514ba8450d66b20d5172d&oe=60B2B7CF&_nc_sid=5cbaad', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '3038848436'}"
227,519,5nkYRuiIHg2xXHFC8bfosJ,"""ItaloBrothers""",4487051,https://www.instagram.com/italobrothers,italobrothers,,,,,66,"{'pk': '225078064', 'username': 'italobrothers', 'full_name': 'italobrothers', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/11327340_138925236446510_2052406400_a.jpg?_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=GSGbmaYp6lUAX_d0XHt&edm=AHG7ALcBAAAA&ccb=7-4&oh=23a20cf1469dc1ec347bb76b1e284c52&oe=60B143E4&_nc_sid=5cbaad', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '225078064'}"
194,464,6c4sUNBgdonFJz8Kx2VsGz,"""Madcon""",103143,https://www.instagram.com/madcon_boys,madcon_boys,,,,,66,"{'pk': '1330794810', 'username': 'madcon_boys', 'full_name': '', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/10326540_1450713748503972_693594570_a.jpg?_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=pNzHwGgje1QAX_bJWjA&edm=AHG7ALcBAAAA&ccb=7-4&oh=3739190cc504064510c59b5cd25a0204&oe=60B16903&_nc_sid=5cbaad', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '1330794810'}"
385,817,6YvP6AXefuZ3bROoEVjCiY,"""LISTENBEE""",4568047,https://www.instagram.com/listenbee,listenbee,,,,,68,"{'pk': '175025057', 'username': 'listenbee', 'full_name': '', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/11849979_460918677422399_590641684_a.jpg?_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=qadFrNzvlIAAX9-_cfj&edm=AHG7ALcBAAAA&ccb=7-4&oh=4a461d62bcf1f469dfe03f51e5e8aca1&oe=60B09740&_nc_sid=5cbaad', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '175025057'}"
261,577,3gGUMEwIX6XodWsYEvKSal,"""YBN Nahmir""",,https://www.instagram.com/y.b.n.n.a.h.m.i.r.fanpage,y.b.n.n.a.h.m.i.r.fanpage,,,,,69,"{'pk': '7810707448', 'username': 'y.b.n.n.a.h.m.i.r.fanpage', 'full_name': 'ybn nahmir', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/s150x150/32285041_942658042578943_8200517419169480704_n.jpg?tp=1&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=qK0gGhB93WEAX9Dlkhz&edm=AHG7ALcBAAAA&ccb=7-4&oh=570070611f01bfc57adb4b8ba0bba0b0&oe=60AFB749&_nc_sid=5cbaad', 'profile_pic_id': '1784530647173580162_7810707448', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '7810707448'}"
