Pos;Artist and Title;SONG NAME;ARTIST NAME;Wks;T10;Pk;(x?);PkStreams;Total;ARTIST URL;TRACK
18;Ariana Grande†-†7 rings;7 rings;Ariana Grande;113;16;1;(x10);71,467,874;1,382,841,499;66CXWjxzNUsdJxJ2JdwvnR;6ocbgoVGwYJhOv1GgI9NsF
19;Dua Lipa†-†Don't Start Now;Don't Start Now;Dua Lipa;74;33;2;(x1);37,779,776;1,380,840,811;6M2wZ9GZgrQXHCFfjv46we;3PfIrDoz19wz7qK7tYeu62
20;Travis Scott†-†SICKO MODE;SICKO MODE;Travis Scott;138;21;2;(x1);33,399,542;1,375,591,327;0Y5tJX1MQlPlqiwlOH1tJY;2xLMifQCjDGFmkHkpNLD9h
21;XXXTENTACION†-†Jocelyn Flores;Jocelyn Flores;XXXTENTACION;187;2;7;;25,442,646;1,350,064,285;15UsOTVnJzReFVN1VCnxy4;7m9OqQk4RVRkw9JJdeAw96
22;Post Malone†-†Circles;Circles;Post Malone;83;18;1;(x1);43,379,405;1,326,824,443;246dkjvS1zLTtiykXe5h60;21jGcNKet2qwijlDFuPiPb
23;Billie Eilish†-†lovely;lovely;Billie Eilish;154;;24;;14,081,242;1,321,491,954;6qqNVTkY8uBg9cP3Jd7DAH;0u2P5u6lvoDfwTYjAADbn4
24;Marshmello†-†Happier;Happier;Marshmello;117;22;2;(x1);28,685,390;1,314,561,043;64KEffDW9EtZ1y2vBYgq8T;2dpaYNEQHiRxtZbfNsse99
25;Camila Cabello†-†Havana;Havana;Camila Cabello;114;25;1;(x1);33,129,706;1,305,095,150;4nDoRrQiYLoBzwC5BhVJzF;1rfofaqEpACxVEHIZBJe6W
26;The Chainsmokers†-†Something Just Like This;Something Just Like This;The Chainsmokers;161;12;2;(x2);33,173,199;1,257,272,948;69GGBxA162lTqCwzJG5jLp;6RUKPb4LETWmmr3iAEQktW
27;Ed Sheeran†-†Thinking out Loud;Thinking out Loud;Ed Sheeran;241;22;1;(x2);12,966,533;1,256,739,061;6eUKZXaKkcviH0Ku9w2n3V;34gCuhDGsG4bRPIf9bb02f
28;Ed Sheeran†-†I Don't Care;I Don't Care;Ed Sheeran;90;17;1;(x6);58,370,367;1,236,890,080;6eUKZXaKkcviH0Ku9w2n3V;0hVXuCcriWRGvwMV1r5Yn9
29;Post Malone†-†Better Now;Better Now;Post Malone;114;11;1;(x6);40,788,286;1,232,129,792;246dkjvS1zLTtiykXe5h60;7dt6x5M1jzdTEt8oCbisTK
30;Travis Scott†-†goosebumps;goosebumps;Travis Scott;190;;13;;22,652,793;1,206,216,295;0Y5tJX1MQlPlqiwlOH1tJY;6gBFPUFcJLzWGx4lenP6h2
31;Imagine Dragons†-†Thunder;Thunder;Imagine Dragons;143;3;8;;21,076,623;1,201,237,576;53XhwfbYqKCa1cC15pYq2q;0tKcYR2II1VCQWT79i5NrW
32;Ed Sheeran†-†Photograph;Photograph;Ed Sheeran;258;;15;;8,088,843;1,195,420,673;6eUKZXaKkcviH0Ku9w2n3V;6fxVffaTuwjgEk5h9QyRjy
33;SAINt JHN†-†Roses - Imanbek Remix;Roses - Imanbek Remix;SAINt JHN;68;23;3;(x10);35,360,782;1,195,366,480;0H39MdGGX6dbnnQPt6NQkZ;24Yi9hE78yPEbZ4kxyoXAI
34;Halsey†-†Without Me;Without Me;Halsey;121;16;4;;27,576,694;1,192,139,465;26VFTg2z8YR0cCuwLzESi2;5p7ujcrUXASCNwRaWNHR1C
35;Roddy Ricch†-†The Box;The Box;Roddy Ricch;68;18;1;(x1);48,937,592;1,182,683,516;757aE44tKEUQEqRuT6GnEB;0nbXyq5TXYPCO7pr3N8S4I
36;Dua Lipa†-†New Rules;New Rules;Dua Lipa;104;23;2;(x3);26,215,788;1,159,764,804;6M2wZ9GZgrQXHCFfjv46we;2ekn2ttSfGqwhhate0LSR0
37;Ariana Grande†-†thank u, next;thank u, next;Ariana Grande;87;17;1;(x8);59,975,503;1,109,308,699;66CXWjxzNUsdJxJ2JdwvnR;3e9HZxeyfWwjeyPAMmWSSQ
38;Harry Styles†-†Watermelon Sugar;Watermelon Sugar;Harry Styles;72;18;4;;28,265,526;1,108,752,090;6KImCVD70vtIoJWnq6nGn3;6UelLqGlWMcVH1E5c4H7lY
39;Maroon 5†-†Memories;Memories;Maroon 5;80;15;2;(x1);31,572,344;1,102,351,550;04gDigrS5kc9YWfZHwBETP;2b8fOow8UzyDFAE27YhOZM
40;Luis Fonsi†-†Despacito - Remix;Despacito - Remix;Luis Fonsi;64;19;1;(x14);54,729,818;1,092,396,262;4V8Sr092TqfHkfAA5fXXqG;5CtI0qwDJkDQGwXD1H1cLb
41;Maroon 5†-†Girls Like You;Girls Like You;Maroon 5;100;14;2;(x1);29,296,811;1,086,166,262;04gDigrS5kc9YWfZHwBETP;7fa9MBXhVfQ8P8Df9OEbD8
42;Lil Uzi Vert†-†XO TOUR Llif3;XO TOUR Llif3;Lil Uzi Vert;121;2;10;;19,373,632;1,077,596,021;4O15NlyKLIASxsJ0PrXPfz;7GX5flRQZVHRAGd6B4TmDO
43;Billie Eilish†-†when the party's over;when the party's over;Billie Eilish;121;1;9;;22,448,428;1,058,872,235;6qqNVTkY8uBg9cP3Jd7DAH;43zdsphuZLzwA9k4DJhU0I
44;XXXTENTACION†-†Moonlight;Moonlight;XXXTENTACION;134;2;2;(x1);27,497,557;1,055,535,621;15UsOTVnJzReFVN1VCnxy4;0JP9xo3adEtGSdUEISiszL
45;DaBaby†-†ROCKSTAR;ROCKSTAR;DaBaby;50;22;1;(x7);41,679,959;1,054,588,325;4r63FhuTkUYltbVAg5TQnk;7ytR5pFWmSjzHJIeQkgog4
46;The Weeknd†-†Starboy;Starboy;The Weeknd;96;21;1;(x6);35,360,281;1,022,208,064;1Xyo4u8uXC1ZmMpatF05PJ;5aAx2yezTd8zXrkmtKl66Z
47;Lil Nas X†-†Old Town Road - Remix;Old Town Road - Remix;Lil Nas X;68;19;2;(x4);36,616,698;1,010,618,722;7jVv8c5Fj3E9VhNjxT4snq;6u7jPi22kF8CTQ3rb9DHE7
48;Arizona Zervas†-†ROXANNE;ROXANNE;Arizona Zervas;70;16;2;(x5);34,104,838;1,006,176,752;0vRvGUQVUjytro0xpb26bs;696DnlkuDOXcMAnKlTgXXK
49;Queen†-†Bohemian Rhapsody - Remastered 2011;Bohemian Rhapsody - Remastered 2011;Queen;145;;11;;18,440,196;1,003,246,892;1dfeR4HaWDbWqFHLkxsg1d;4u7EnebtmKWzUH433cf5Qv
50;Karol G†-†Tusa;Tusa;Karol G;73;14;3;(x2);41,434,019;994,146,025;790FomKkXshlbRYZFtlgla;7k4t7uLgtOxPwTpFmtJNTY
51;John Legend†-†All of Me;All of Me;John Legend;259;15;3;(x2);6,405,273;992,933,591;5y2Xq6xcjJb2jVM54GHK3t;3U4isOIWM3VvDubwSI3y7a
52;Post Malone†-†Congratulations;Congratulations;Post Malone;128;;20;;15,632,229;990,710,095;246dkjvS1zLTtiykXe5h60;3a1lNhkSLSkpJE4MSHpDu9
53;Lauv†-†I Like Me Better;I Like Me Better;Lauv;159;;29;;12,704,967;990,348,614;5JZ7CnR6gTvEMKX4g70Amv;2P91MQbaiQOfbiz9VqhqKQ
54;Kendrick Lamar†-†HUMBLE.;HUMBLE.;Kendrick Lamar;95;12;1;(x1);41,269,524;985,684,392;2YZyLoL8N0Wb9xBt1NhZWg;7KXjTSCq5nL1LoYtL7XAwS
55;5 Seconds of Summer†-†Youngblood;Youngblood;5 Seconds of Summer;120;1;8;;22,841,733;984,672,105;5Rl15oVamLq7FbSb0NNBNy;2iUXsYOEPhVqEBwsqP70rE
56;Trevor Daniel†-†Falling;Falling;Trevor Daniel;72;12;5;;29,862,206;983,733,152;7uaIm6Pw7xplS8Dy06V6pT;2rRJrJEo19S2J82BDsQ3F7
57;benny blanco†-†Eastside;Eastside;benny blanco;95;11;4;;24,227,312;979,529,313;5CiGnKThu5ctn9pBxv7DGa;7FGq80cy8juXBCD2nrqdWU
58;Justin Bieber†-†Love Yourself;Love Yourself;Justin Bieber;108;22;1;(x3);28,218,558;967,608,716;1uNFoZAHBGtllmzznpCI3s;3hB5DgAiMAQ4DzYbsMq1IT
59;Post Malone†-†Wow.;Wow.;Post Malone;84;14;2;(x1);31,165,644;962,552,357;246dkjvS1zLTtiykXe5h60;6MWtB6iiXyIwun0YzU6DFP
60;Ava Max†-†Sweet but Psycho;Sweet but Psycho;Ava Max;98;7;6;;22,400,542;951,420,265;4npEfmQ6YuiwW1GpUmaq3F;25sgk305KZfyuqVBQIahim
61;Justin Bieber†-†Sorry;Sorry;Justin Bieber;92;21;1;(x8);34,283,993;945,730,140;1uNFoZAHBGtllmzznpCI3s;69bp2EbF7Q2rqc5N3ylezZ
62;The Chainsmokers†-†Don't Let Me Down;Don't Let Me Down;The Chainsmokers;93;22;3;(x2);20,867,984;937,382,310;69GGBxA162lTqCwzJG5jLp;1i1fxkWeaMmKEB4T7zqbzK
63;Major Lazer†-†Lean On;Lean On;Major Lazer;120;33;1;(x10);18,924,031;916,566,107;738wLrAtLtCtFOLvQBXOXp;4WjH9Bzt3kx7z8kl0awxh4
64;Post Malone†-†Psycho;Psycho;Post Malone;80;14;2;(x6);45,142,484;911,952,857;246dkjvS1zLTtiykXe5h60;3swc6WTsr7rl9DqQKQA55C
65;Cardi B†-†I Like It;I Like It;Cardi B;74;14;2;(x1);27,369,377;908,062,879;4kYSro6naA4h99UJvo89HB;58q2HKrzhC3ozto2nDdN4z
66;Dean Lewis†-†Be Alright;Be Alright;Dean Lewis;123;;12;;17,708,246;904,001,655;3QSQFmccmX81fWCUSPTS7y;5qrSlOut2rNAWv3ubArkNy
67;DJ Snake†-†Taki Taki;Taki Taki;DJ Snake;62;18;1;(x4);40,931,264;896,064,520;540vIaP2JwjQb9dm3aArA4;4w8niZpiMy6qz1mntFA5uM
68;Powfu†-†death bed;death bed;Powfu;59;17;4;;30,329,811;892,450,885;6bmlMHgSheBauioMgKv2tn;7eJMfftS33KTjuF7lTsMCx
69;Mike Posner†-†I Took A Pill In Ibiza - Seeb Remix;I Took A Pill In Ibiza - Seeb Remix;Mike Posner;99;22;2;(x3);23,018,299;891,175,647;2KsP6tYLJlTBvSUxnwlVWa;7vfWgVGiLgnGbInU5lvSQg
70;Travis Scott†-†HIGHEST IN THE ROOM;HIGHEST IN THE ROOM;Travis Scott;78;7;1;(x1);48,161,108;875,935,511;0Y5tJX1MQlPlqiwlOH1tJY;3eekarcy7kvN4yt5ZFzltW
71;French Montana†-†Unforgettable;Unforgettable;French Montana;78;15;3;(x1);25,652,839;873,238,651;6vXTefBL93Dj5IqAWq6OTv;3B54sVLJ402zGa6Xm4YGNe
72;Ed Sheeran†-†Beautiful People;Beautiful People;Ed Sheeran;71;16;3;(x3);36,721,702;868,100,792;6eUKZXaKkcviH0Ku9w2n3V;70eFcWOvlMObDhURTqT4Fv
73;24kGoldn†-†Mood;Mood;24kGoldn;34;27;1;(x5);41,500,977;866,124,388;6fWVd57NKTalqvmjRd2t8Z;3tjFYV6RSFtuktYl3ZtYcq
74;DJ Snake†-†Let Me Love You;Let Me Love You;DJ Snake;67;22;2;(x1);32,792,765;856,986,795;540vIaP2JwjQb9dm3aArA4;4pdPtRcBmOSQDlJ3Fk945m
75;Calvin Harris†-†One Kiss;One Kiss;Calvin Harris;72;14;2;(x4);30,380,257;851,174,897;7CajNmpbOovFoOoasH2HaY;7ef4DlsgrMEH11cDZd32M6
76;Drake†-†In My Feelings;In My Feelings;Drake;52;15;1;(x8);67,499,798;850,630,308;3TVXtAsR1Inumwj472S9r4;2G7V7zsVDxg1yRsu7Ew9RJ
77;Lewis Capaldi†-†Before You Go;Before You Go;Lewis Capaldi;71;;19;;16,267,082;829,745,791;4GNC7GD6oZMSxPGyXy4MNB;2gMXnyrvIjhVBUZwvLZDMP
78;Panic! At The Disco†-†High Hopes;High Hopes;Panic! At The Disco;99;1;9;;19,643,546;822,525,134;20JZFwl6HVl6yg8a4H3ZqK;1rqqCSm0Qe4I9rUvWncaom
79;Major Lazer†-†Cold Water;Cold Water;Major Lazer;60;17;1;(x5);39,612,302;815,313,617;738wLrAtLtCtFOLvQBXOXp;6DNtNfH8hXkqOX1sjqmI7p
80;Billie Eilish†-†everything i wanted;everything i wanted;Billie Eilish;72;5;2;(x1);40,323,676;811,497,568;6qqNVTkY8uBg9cP3Jd7DAH;3ZCTVFBt2Brf31RLEnCkWJ
81;Luis Fonsi†-†Despacito (Featuring Daddy Yankee);Despacito (Featuring Daddy Yankee);Luis Fonsi;62;15;4;;27,082,220;802,424,995;4V8Sr092TqfHkfAA5fXXqG;4aWmUDTfIPGksMNLV2rQP2
82;Sam Smith†-†Too Good At Goodbyes;Too Good At Goodbyes;Sam Smith;109;6;3;(x2);28,527,847;780,246,421;2wY79sveU1sp5g7SokKOiI;1mXVgsBdtIVeCLJnSnmtdV
83;Sia†-†Cheap Thrills;Cheap Thrills;Sia;83;18;3;(x1);22,704,478;771,328,890;5WUlDfRSoLAfcVSX1WnrxN;27SdWb2rFzO6GWiYDBTD9j
84;Lil Mosey†-†Blueberry Faygo;Blueberry Faygo;Lil Mosey;60;5;8;;25,687,351;770,895,074;5zctI4wO9XSKS8XwcnqEHk;22LAwLoDA5b4AaGSkg6bKW
85;Harry Styles†-†Adore You;Adore You;Harry Styles;69;1;6;;25,393,341;769,499,633;6KImCVD70vtIoJWnq6nGn3;3jjujdWJ72nww5eGnfs2E7
86;Justin Bieber†-†What Do You Mean?;What Do You Mean?;Justin Bieber;76;24;1;(x8);29,264,063;767,171,936;1uNFoZAHBGtllmzznpCI3s;3pzjHKrQSvXGHQ98dx18HI
87;Dua Lipa†-†IDGAF;IDGAF;Dua Lipa;78;12;4;;23,715,748;765,728,252;6M2wZ9GZgrQXHCFfjv46we;76cy1WJvNGJTj78UqeA5zr
88;Daddy Yankee†-†Con Calma;Con Calma;Daddy Yankee;55;15;2;(x3);31,111,446;759,270,487;4VMYDCV2IEDYJArk749S6m;5w9c2J52mkdntKOmRLeM2m
89;Regard†-†Ride It;Ride It;Regard;82;;12;;17,371,573;757,653,773;4ofCBoyEiGSePFAG500xev;2tnVG71enUj33Ic2nFN6kZ
90;Jonas Brothers†-†Sucker;Sucker;Jonas Brothers;70;11;2;(x2);34,629,196;756,754,337;7gOdHgIoIKoe4i9Tta6qdD;22vgEDb5hykfaTwLuskFGD
91;Post Malone†-†I Fall Apart;I Fall Apart;Post Malone;87;1;10;;17,129,238;750,917,723;246dkjvS1zLTtiykXe5h60;75ZvA4QfFiZvzhj2xkaWAh
92;Twenty One Pilots†-†Stressed Out;Stressed Out;Twenty One Pilots;113;12;6;;18,271,666;748,267,834;3YQKmKGau1PzlVlkL1iodx;3CRDbSIZ4r5MsZ0YwxuEkn
93;Mariah Carey†-†All I Want for Christmas Is You;All I Want for Christmas Is You;Mariah Carey;50;18;1;(x2);53,401,383;745,253,379;4iHNK0tOyZPYnBU7nGAgpQ;0bYg9bo50gSsH3LtXe2SQn
94;Zedd†-†The Middle;The Middle;Zedd;82;7;6;;22,125,746;741,276,314;2qxJFvFYMEDqd7ui6kSAcq;09IStsImFySgyp0pIQdqAc
95;blackbear†-†hot girl bummer;hot girl bummer;blackbear;81;3;9;;20,814,917;734,022,837;2cFrymmkijnjDg9SS92EPM;7aiClxsDWFRQ0Kzk5KI5ku
96;Bruno Mars†-†That's What I Like;That's What I Like;Bruno Mars;85;9;6;;23,602,385;733,976,807;0du5cEVh5yTK9QJze8zA0C;0KKkJNfGyhkQ5aFogxQAPU
97;DJ Khaled†-†I'm the One;I'm the One;DJ Khaled;51;16;2;(x7);40,519,723;720,238,325;0QHgL1lAIqAw0HtD7YldmP;3DXncPQOG4VBw3QHh3S817
98;Shawn Mendes†-†Treat You Better;Treat You Better;Shawn Mendes;82;13;5;;20,386,073;717,975,045;7n2wHs1TKAczGzO7Dd2rGr;76t5B0ttSAje5KHmQbv88t
99;Marshmello†-†FRIENDS;FRIENDS;Marshmello;67;13;4;;25,664,581;714,909,410;64KEffDW9EtZ1y2vBYgq8T;08bNPGLD8AhKpnnERrAc6G
100;Cardi B†-†WAP;WAP;Cardi B;34;15;1;(x5);45,977,242;712,573,070;4kYSro6naA4h99UJvo89HB;4Oun2ylbjFKMPTiaSbbCih
101;Calvin Harris†-†This Is What You Came For;This Is What You Came For;Calvin Harris;64;18;2;(x11);26,378,633;710,707,296;7CajNmpbOovFoOoasH2HaY;0azC730Exh71aQlOt9Zj3y
102;"Justin Timberlake†-†CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";Justin Timberlake;78;14;3;(x6);24,236,034;707,632,576;31TPClRtHm23RisEBtV3X7;6JV2JOEocMgcZxYSZelKcc
103;J Balvin†-†Mi Gente;Mi Gente;J Balvin;57;15;1;(x4);32,361,062;706,648,562;1vyhD5VmyZ7KMfW5gqLgo5;2rb5MvYT7ZIxbKW5hfcHx8
104;Alan Walker†-†Faded;Faded;Alan Walker;91;15;7;;17,656,352;705,007,917;7vk5e3vY1uw9plTHJAMwjN;1brwdYwjltrJo7WHpIvbYt
105;Anuel Aa†-†China;China;Anuel Aa;53;12;2;(x4);33,436,706;703,150,756;2R21vXR83lH98kGeO99Y66;2ksOAxtIxY8yElEWw8RhgK
106;Sam Smith†-†Dancing With A Stranger;Dancing With A Stranger;Sam Smith;76;10;7;;23,144,963;702,710,293;2wY79sveU1sp5g7SokKOiI;6Qs4SXO9dwPj5GKvVOv8Ki
107;Charlie Puth†-†Attention;Attention;Charlie Puth;60;13;5;;22,888,447;700,064,945;6VuMaDnrHyPL1p4EHjYLi7;4iLqG9SeJSnt0cSPICSjxv
108;Fifth Harmony†-†Work from Home;Work from Home;Fifth Harmony;74;20;2;(x3);22,851,136;698,301,324;1l8Fu6IkuTP0U5QetQJ5Xt;4tCtwWceOPWzenK2HAIJSb
109;Future†-†Life Is Good;Life Is Good;Future;64;5;3;(x1);39,404,104;697,997,774;1RyvyyTE3xzB2ZywiAwp0i;5yY9lUy8nbvjM1Uyo1Uqoc
110;Lukas Graham†-†7 Years;7 Years;Lukas Graham;86;14;2;(x1);21,578,772;691,799,286;25u4wHJWxCA9vO0CzxAbK7;5kqIPrATaCc2LqxVWzQGbk
111;Tyga†-†Taste;Taste;Tyga;67;4;6;;24,591,233;690,276,332;5LHRHt1k9lMyONurDHEdrp;5IaHrVsrferBYDm0bDyABy
112;Jawsh 685†-†Savage Love (Laxed - Sired Beat);Savage Love (Laxed - Sired Beat);Jawsh 685;42;15;1;(x2);34,310,255;689,458,299;56mfhUDKa1vec6rSLZV5Eg;1xQ6trAsedVPCdbtDAmk0c
113;Bebe Rexha†-†Meant to Be;Meant to Be;Bebe Rexha;87;;18;;14,838,238;688,386,937;64M6ah0SkkRsnPGtGiRAbb;7iDa6hUg2VgEL1o1HjmfBn
114;Bad Bunny†-†MIA;MIA;Bad Bunny;51;14;1;(x1);39,639,615;688,289,134;4q3ewBCX7sLwd24euuV69X;116H0KvKr2Zl4RPuVBruDO
115;Pedro CapÛ†-†Calma - Remix;Calma - Remix;Pedro Cap√≥;61;9;5;;23,772,814;687,647,813;4QVBYiagIaa6ZGSPMbybpy;5iwz1NiezX7WWjnCgY5TH4
116;Justin Bieber†-†Intentions;Intentions;Justin Bieber;54;9;5;;35,379,447;686,857,521;1uNFoZAHBGtllmzznpCI3s;4umIPjkehX1r7uhmGvXiSV
117;Ariana Grande†-†no tears left to cry;no tears left to cry;Ariana Grande;61;8;2;(x1);38,925,971;685,597,568;66CXWjxzNUsdJxJ2JdwvnR;5SxkdsY1ufZzoq9iXceLw9
118;BTS†-†Dynamite;Dynamite;BTS;32;17;2;(x2);39,904,687;682,530,524;3Nrfpe0tUJi4K4DXYWgMUX;4saklk6nie3yiGePpBwUoc
119;ZAYN†-†I Donít Wanna Live Forever (Fifty Shades Darker);I Don‚Äôt Wanna Live Forever (Fifty Shades Darker);ZAYN;68;14;2;(x2);30,694,422;682,354,310;5ZsFI1h6hIdQRw2ti0hz81;3NdDpSvN911VPGivFlV5d0
120;Marshmello†-†Silence;Silence;Marshmello;71;8;8;;20,339,368;681,892,436;64KEffDW9EtZ1y2vBYgq8T;7vGuf3Y35N4wmASOKLUVVU
121;Doja Cat†-†Say So;Say So;Doja Cat;60;8;6;;25,776,622;678,877,812;5cj0lLjcoR7YOSnhnX0Po5;3Dv1eDb0MEgF93GpLXlucZ
122;Drake†-†Toosie Slide;Toosie Slide;Drake;46;14;2;(x4);45,292,273;677,398,639;3TVXtAsR1Inumwj472S9r4;466cKvZn1j45IpxDdYZqdA
123;Dynoro†-†In My Mind;In My Mind;Dynoro;66;10;6;;22,288,306;676,704,919;3v6Ji4uoWtKRkhuDUaxi9n;0E9ZjEAyAwOXZ7wJC0PD33
124;Clean Bandit†-†Rockabye;Rockabye;Clean Bandit;65;14;3;(x3);22,798,862;674,373,152;6MDME20pz9RveH9rEXvrOM;5knuzwU65gJK7IF5yJsuaW
125;Adele†-†Hello;Hello;Adele;73;15;1;(x3);44,785,665;668,589,866;4dpARuHxo51G3z768sgnrY;0ENSn4fwAbCGeFGVUbXEU3
126;Kygo†-†It Ain't Me;It Ain't Me;Kygo;55;14;2;(x2);31,981,993;668,193,646;23fqKkggKUBHNkbKtXEls4;3eR23VReFzcdmS7TYCrhCe
127;Lil Tecca†-†Ransom;Ransom;Lil Tecca;60;10;3;(x2);27,574,962;665,791,210;4Ga1P7PMIsmqEZqhYZQgDo;1lOe9qE0vR9zwWQAOk6CoO
128;Post Malone†-†Goodbyes (Feat. Young Thug);Goodbyes (Feat. Young Thug);Post Malone;47;13;2;(x1);37,067,320;654,675,084;246dkjvS1zLTtiykXe5h60;6vBdBCoOhKHiYDDOcorfNo
129;Rihanna†-†Work;Work;Rihanna;60;15;1;(x9);33,662,868;652,396,816;5pKCCKE2ajJHZ9KAiaK11H;14WWzenpaEgQZlqPq2nk4v
130;Hozier†-†Take Me To Church;Take Me To Church;Hozier;133;20;1;(x5);13,212,580;651,484,832;2FXC3k01G6Gw61bmprjgqS;7dS5EaCoMnN7DzlpT6aRn2
131;Maroon 5†-†What Lovers Do;What Lovers Do;Maroon 5;68;10;5;;23,951,075;651,050,835;04gDigrS5kc9YWfZHwBETP;3hBBKuWJfxlIlnd9QFoC8k
132;Anne-Marie†-†2002;2002;Anne-Marie;87;;27;;13,698,716;644,432,285;1zNqDE7qDGCsyzJwohVaoX;2BgEsaKNfHUdlh97KmvFyo
133;Shawn Mendes†-†Stitches;Stitches;Shawn Mendes;100;20;5;;15,301,964;643,947,324;7n2wHs1TKAczGzO7Dd2rGr;1WP1r7fuvRqZRnUaTi2I1Q
134;Juice WRLD†-†Robbery;Robbery;Juice WRLD;89;;18;;16,634,927;642,406,545;4MCBfE4596Uoi2O4DtmEMz;6Hj9jySrnFppAI0sEMCZpJ
135;The Weeknd†-†Can't Feel My Face;Can't Feel My Face;The Weeknd;84;29;1;(x1);19,390,352;641,671,404;1Xyo4u8uXC1ZmMpatF05PJ;6RsWqX8zABZLhZydXxEFOm
136;Danny Ocean†-†Me Reh˙so;Me Reh√∫so;Danny Ocean;69;;20;;13,515,074;640,056,355;5H1nN1SzW0qNeUEZvuXjAj;6De0lHrwBfPfrhorm9q1Xl
137;Topic†-†Breaking Me;Breaking Me;Topic;54;5;8;;20,464,143;639,060,903;0u6GtibW46tFX7koQ6uNJZ;3H7ihDc1dqLriiWXwsc2po
138;Bad Bunny†-†Callaita;Callaita;Bad Bunny;53;8;7;;22,380,052;630,293,953;4q3ewBCX7sLwd24euuV69X;2TH65lNHgvLxCKXM3apjxI
139;Logic†-†1-800-273-8255;1-800-273-8255;Logic;62;9;5;;23,662,238;629,521,089;4xRYI6VqpkE3UwrDrAZL8L;5tz69p7tJuGPeMGwNTxYuV
140;Twenty One Pilots†-†Heathens;Heathens;Twenty One Pilots;61;13;4;;26,546,200;629,357,576;3YQKmKGau1PzlVlkL1iodx;6i0V12jOa3mr6uu4WYhUBr
