;name;album;artist;release_date;length;popularity;danceability;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;tempo;time_signature;mode;valence;key
52;I Like Me Better;I met you when I was 18. (the playlist);Lauv;2018-05-31;197436;83;0.752;0.535;0.752;0.505;2.55e-06;0.104;-7.621;0.253;91.97;4;1;0.419;9
53;HUMBLE.;DAMN.;Kendrick Lamar;2017-04-14;177000;82;0.908;0.000282;0.908;0.621;5.39e-05;0.0958;-6.638;0.102;150.011;4;0;0.421;1
54;Youngblood;Youngblood (Deluxe);5 Seconds of Summer;2018-06-15;203417;82;0.596;0.0169;0.596;0.854;0.0;0.124;-5.114;0.463;120.274;4;0;0.152;7
55;Falling;Nicotine;Trevor Daniel;2020-03-26;159381;76;0.784;0.123;0.784;0.43;0.0;0.0887;-8.756;0.0364;127.087;4;0;0.236;10
56;Eastside (with Halsey & Khalid);FRIENDS KEEP SECRETS;benny blanco;2018-12-07;170769;73;0.632;0.549;0.632;0.686;0.0;0.2;-7.665;0.243;89.949;4;0;0.329;6
57;Love Yourself;Purpose (Deluxe);Justin Bieber;2015-11-13;233720;2;0.609;0.835;0.609;0.378;0.0;0.28;-9.828;0.438;100.418;4;1;0.515;4
58;Wow.;Wow.;Post Malone;2018-12-24;149520;6;0.833;0.163;0.833;0.539;2.1e-06;0.101;-7.399;0.178;99.947;4;0;0.385;11
59;Sweet but Psycho;Sweet but Psycho;Ava Max;2018-08-17;187436;16;0.719;0.0691;0.719;0.704;0.0;0.166;-4.724;0.0476;133.002;4;1;0.628;1
60;Sorry;Purpose (Deluxe);Justin Bieber;2015-11-13;200786;2;0.654;0.0797;0.654;0.76;0.0;0.299;-3.669;0.045;99.945;4;0;0.41;0
61;Don't Let Me Down;Don't Let Me Down;The Chainsmokers;2016-02-05;208373;79;0.532;0.157;0.532;0.869;0.00508;0.136;-5.094;0.172;159.803;4;1;0.422;11
62;Lean On (feat. MØ & DJ Snake);Peace Is The Mission;Major Lazer;2015-05-29;176561;0;0.723;0.00346;0.723;0.809;0.00123;0.565;-3.081;0.0625;98.007;4;0;0.274;7
63;Psycho (feat. Ty Dolla $ign);beerbongs & bentleys;Post Malone;2018-04-27;221440;80;0.75;0.546;0.75;0.56;0.0;0.111;-8.094;0.105;140.06;4;1;0.459;8
64;I Like It;Invasion of Privacy;Cardi B;2018-04-06;253390;82;0.816;0.099;0.816;0.726;0.0;0.372;-3.998;0.129;136.048;4;0;0.65;5
65;Be Alright;A Place We Knew;Dean Lewis;2019-03-22;196493;75;0.551;0.705;0.551;0.537;0.0;0.0802;-7.595;0.034;126.421;4;1;0.493;11
66;Taki Taki (with Selena Gomez, Ozuna & Cardi B);Taki Taki (with Selena Gomez, Ozuna & Cardi B);DJ Snake;2018-09-28;212500;78;0.842;0.157;0.842;0.801;4.82e-06;0.0642;-4.167;0.228;95.881;4;0;0.617;8
67;death bed (coffee for your head);death bed (coffee for your head);Powfu;2020-02-08;173333;87;0.726;0.731;0.726;0.431;0.0;0.696;-8.765;0.135;144.026;4;0;0.348;8
68;I Took A Pill In Ibiza - Seeb Remix;I Took A Pill In Ibiza (Seeb Remix);Mike Posner;2015-07-24;199226;0;0.673;0.037;0.673;0.79;9.95e-06;0.0875;-4.663;0.0893;102.013;4;0;0.705;7
69;HIGHEST IN THE ROOM;HIGHEST IN THE ROOM;Travis Scott;2019-10-04;175720;86;0.598;0.0546;0.598;0.427;5.83e-06;0.21;-8.764;0.0317;76.469;4;0;0.0605;7
70;Unforgettable;Jungle Rules;French Montana;2017-07-14;233901;81;0.726;0.0293;0.726;0.769;0.0101;0.104;-5.043;0.123;97.985;4;1;0.733;6
71;Beautiful People (feat. Khalid);No.6 Collaborations Project;Ed Sheeran;2019-07-12;197866;76;0.64;0.124;0.64;0.647;0.0;0.0801;-8.114;0.186;92.979;4;0;0.546;5
72;Mood (feat. iann dior);Mood (feat. iann dior);24kGoldn;2020-07-24;140525;80;0.7;0.221;0.7;0.722;0.0;0.272;-3.558;0.0369;90.989;4;0;0.756;7
73;Let Me Love You;Encore;DJ Snake;2016-08-05;205946;2;0.476;0.0784;0.476;0.718;1.02e-05;0.122;-5.309;0.0576;199.864;4;1;0.142;8
74;One Kiss (with Dua Lipa);One Kiss (with Dua Lipa);Calvin Harris;2018-04-06;214846;82;0.791;0.037;0.791;0.862;2.19e-05;0.0814;-3.24;0.11;123.994;4;0;0.592;9
75;In My Feelings;Scorpion;Drake;2018-06-29;217925;78;0.835;0.0589;0.835;0.626;6e-05;0.396;-5.833;0.125;91.03;4;1;0.35;1
76;Before You Go;Divinely Uninspired To A Hellish Extent (Extended Edition);Lewis Capaldi;2019-11-22;215106;84;0.459;0.604;0.459;0.575;0.0;0.0885;-4.858;0.0573;111.881;4;1;0.183;3
77;High Hopes;Pray for the Wicked;Panic! At The Disco;2018-06-22;190946;82;0.579;0.193;0.579;0.904;0.0;0.064;-2.729;0.0618;82.014;4;1;0.681;5
78;Cold Water (feat. Justin Bieber & MØ);Cold Water (feat. Justin Bieber & MØ);Major Lazer;2016-07-22;185351;1;0.608;0.0736;0.608;0.798;0.0;0.156;-5.092;0.0432;92.943;4;0;0.501;6
79;everything i wanted;everything i wanted;Billie Eilish;2019-11-13;245425;85;0.704;0.902;0.704;0.225;0.657;0.106;-14.454;0.0994;120.006;4;0;0.243;6
80;Despacito (Featuring Daddy Yankee);Despacito (Featuring Daddy Yankee);Luis Fonsi;2017-01-13;228200;3;0.66;0.209;0.66;0.786;0.0;0.112;-4.757;0.17;177.833;4;1;0.846;2
81;Too Good At Goodbyes;The Thrill Of It All (Special Edition);Sam Smith;2017-11-03;201000;80;0.681;0.64;0.681;0.372;0.0;0.169;-8.237;0.0432;91.873;4;1;0.476;5
82;Cheap Thrills;This Is Acting;Sia;2016-01-29;211666;76;0.628;0.0472;0.628;0.698;0.00143;0.0907;-5.608;0.105;89.976;4;0;0.732;6
83;Blueberry Faygo;Certified Hitmaker;Lil Mosey;2020-02-06;162546;80;0.774;0.207;0.774;0.554;0.0;0.132;-7.909;0.0383;99.034;4;1;0.349;0
84;Adore You;Fine Line;Harry Styles;2019-12-13;207133;86;0.676;0.0237;0.676;0.771;7e-06;0.102;-3.675;0.0483;99.048;4;1;0.569;8
85;What Do You Mean?;Purpose (Deluxe);Justin Bieber;2015-11-13;205680;2;0.845;0.59;0.845;0.567;0.00142;0.0811;-8.118;0.0956;125.02;4;0;0.793;5
86;IDGAF;Dua Lipa (Deluxe);Dua Lipa;2017-06-02;217946;79;0.836;0.0403;0.836;0.544;0.0;0.0824;-5.975;0.0943;97.028;4;1;0.51;7
87;Con Calma;Con Calma;Daddy Yankee;2019-01-24;193226;80;0.737;0.11;0.737;0.86;1.94e-06;0.0574;-2.652;0.0593;93.989;4;0;0.656;8
88;Ride It;Ride It;Regard;2019-07-26;157605;86;0.88;0.177;0.88;0.751;6.43e-05;0.106;-4.258;0.0874;117.948;4;0;0.884;7
89;Sucker;Happiness Begins;Jonas Brothers;2019-06-07;181026;83;0.842;0.0427;0.842;0.734;0.0;0.106;-5.065;0.0588;137.958;4;0;0.952;1
90;I Fall Apart;Stoney (Deluxe);Post Malone;2016-12-09;223346;82;0.556;0.0689;0.556;0.538;0.0;0.196;-5.408;0.0382;143.95;4;0;0.291;8
91;Stressed Out;Blurryface;Twenty One Pilots;2015-05-15;202333;84;0.734;0.0462;0.734;0.637;2.29e-05;0.0602;-5.677;0.141;169.977;4;0;0.648;4
92;All I Want for Christmas Is You;Merry Christmas;Mariah Carey;1994-11-01;241106;66;0.336;0.164;0.336;0.627;0.0;0.0708;-7.463;0.0384;150.273;4;1;0.35;7
93;The Middle;The Middle;Zedd;2018-01-23;184732;82;0.753;0.171;0.753;0.657;0.0;0.112;-3.061;0.0449;107.01;4;1;0.437;7
94;hot girl bummer;hot girl bummer;blackbear;2019-08-23;185093;12;0.778;0.128;0.778;0.559;0.0;0.399;-7.109;0.0776;129.989;1;0;0.678;6
95;That's What I Like;24K Magic;Bruno Mars;2016-11-17;206693;83;0.853;0.013;0.853;0.56;0.0;0.0944;-4.961;0.0406;134.066;4;1;0.86;1
96;I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne);Grateful;DJ Khaled;2017-06-22;288600;74;0.609;0.0552;0.609;0.668;0.0;0.167;-4.284;0.0367;80.924;4;1;0.811;7
97;Treat You Better;Illuminate (Deluxe);Shawn Mendes;2016-09-23;187973;0;0.683;0.107;0.683;0.797;0.0;0.114;-4.085;0.246;82.916;4;0;0.758;10
98;FRIENDS;FRIENDS;Marshmello;2018-02-09;202620;80;0.626;0.205;0.626;0.88;0.0;0.128;-2.384;0.0504;95.079;4;0;0.534;9
99;WAP (feat. Megan Thee Stallion);WAP (feat. Megan Thee Stallion);Cardi B;2020-08-07;187541;87;0.935;0.0194;0.935;0.454;0.0;0.0824;-7.509;0.375;133.073;4;1;0.357;1
100;This Is What You Came For (feat. Rihanna);This Is What You Came For (feat. Rihanna);Calvin Harris;2016-04-29;222160;79;0.631;0.199;0.631;0.927;0.119;0.148;-2.787;0.0332;123.962;4;0;0.465;9
101;"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";Justin Timberlake;2016-05-06;236001;77;0.667;0.0123;0.667;0.83;0.0;0.191;-5.715;0.0749;113.03;4;1;0.701;0
102;Mi Gente;Mi Gente;J Balvin;2017-06-30;189440;2;0.543;0.0148;0.543;0.677;6.21e-06;0.13;-4.915;0.0993;103.809;4;0;0.294;11
103;Faded;Faded;Alan Walker;2015-12-04;212626;0;0.589;0.0291;0.589;0.651;3.2e-06;0.111;-5.097;0.0306;90.011;4;1;0.166;6
104;China;China;Anuel AA;2019-07-19;301714;78;0.786;0.0846;0.786;0.808;0.000289;0.0822;-3.702;0.0882;105.027;4;1;0.609;7
105;Dancing With A Stranger (with Normani);Dancing With A Stranger (with Normani);Sam Smith;2019-01-11;171029;79;0.741;0.45;0.741;0.52;1.97e-06;0.222;-7.513;0.0656;102.998;4;1;0.347;8
106;Attention;Attention;Charlie Puth;2017-04-20;211475;2;0.774;0.0969;0.774;0.626;3.12e-05;0.0848;-4.432;0.0432;100.041;4;0;0.777;3
107;Work from Home (feat. Ty Dolla $ign);7/27 (Deluxe);Fifth Harmony;2016-05-27;214480;78;0.803;0.103;0.803;0.585;3.94e-06;0.0644;-5.861;0.0432;105.017;4;1;0.593;8
108;Life Is Good (feat. Drake);Life Is Good (feat. Drake);Future;2020-01-10;237735;83;0.676;0.0706;0.676;0.609;0.0;0.152;-5.831;0.481;142.037;4;0;0.508;2
109;7 Years;Lukas Graham;Lukas Graham;2016-04-01;237300;80;0.765;0.287;0.765;0.473;0.0;0.391;-5.829;0.0514;119.992;4;1;0.34;10
110;Taste (feat. Offset);Taste (feat. Offset);Tyga;2018-05-16;232959;77;0.884;0.0236;0.884;0.559;0.0;0.101;-7.442;0.12;97.994;4;1;0.342;0
111;Savage Love (Laxed - Siren Beat);Savage Love (Laxed - Siren Beat);Jawsh 685;2020-06-11;171374;85;0.767;0.234;0.767;0.481;0.0;0.269;-8.52;0.0803;150.076;4;0;0.761;0
112;Meant to Be (feat. Florida Georgia Line);All Your Fault: Pt. 2;Bebe Rexha;2017-08-11;163870;78;0.643;0.047;0.643;0.783;0.0;0.083;-6.458;0.0856;154.084;4;1;0.579;10
113;MIA (feat. Drake);MIA (feat. Drake);Bad Bunny;2018-10-11;210367;78;0.817;0.0141;0.817;0.539;0.000496;0.099;-6.349;0.0621;97.062;4;0;0.158;6
114;Calma - Remix;Calma (Remix);Pedro Capó;2018-10-05;238200;77;0.826;0.323;0.826;0.773;0.0;0.143;-4.218;0.0524;126.899;4;0;0.761;11
115;Intentions (feat. Quavo);Changes;Justin Bieber;2020-02-14;212866;79;0.806;0.3;0.806;0.546;0.0;0.102;-6.637;0.0575;147.986;4;1;0.874;9
116;no tears left to cry;no tears left to cry;Ariana Grande;2018-04-20;205946;2;0.703;0.0375;0.703;0.696;5.65e-06;0.274;-5.482;0.0529;121.969;4;1;0.366;0
117;Dynamite;BE;BTS;2020-11-20;199053;89;0.746;0.0112;0.746;0.765;0.0;0.0936;-4.41;0.0993;114.044;4;0;0.737;6
118;"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""";I Don’t Wanna Live Forever (Fifty Shades Darker);ZAYN;2016-12-09;245200;2;0.735;0.0631;0.735;0.451;1.3e-05;0.325;-8.374;0.0585;117.973;4;1;0.0862;0
119;Silence;Silence;Marshmello;2017-08-11;180822;81;0.52;0.256;0.52;0.761;4.96e-06;0.17;-3.093;0.0853;141.971;4;1;0.286;4
120;Say So;Hot Pink;Doja Cat;2019-11-07;237893;84;0.787;0.256;0.787;0.673;3.57e-06;0.0904;-4.577;0.158;110.962;4;0;0.786;11
121;Toosie Slide;Dark Lane Demo Tapes;Drake;2020-05-01;247058;75;0.83;0.289;0.83;0.49;3.04e-06;0.113;-8.82;0.209;81.604;4;0;0.845;1
122;In My Mind;In My Mind;Dynoro;2018-06-08;184560;81;0.694;0.176;0.694;0.77;1.1e-05;0.118;-5.335;0.149;125.905;4;1;0.163;6
123;Rockabye (feat. Sean Paul & Anne-Marie);Rockabye (feat. Sean Paul & Anne-Marie);Clean Bandit;2016-10-21;251088;76;0.72;0.406;0.72;0.763;0.0;0.18;-4.068;0.0523;101.965;4;0;0.742;9
124;Hello;Hello;Adele;2015-10-23;295493;11;0.481;0.336;0.481;0.451;0.0;0.0872;-6.095;0.0347;157.966;4;0;0.289;5
125;It Ain't Me (with Selena Gomez);It Ain't Me (with Selena Gomez);Kygo;2017-02-16;220780;76;0.64;0.119;0.64;0.533;0.0;0.0864;-6.596;0.0706;99.968;4;1;0.515;0
126;Ransom;We Love You Tecca;Lil Tecca;2019-08-30;131240;82;0.745;0.0204;0.745;0.642;0.0;0.0658;-6.257;0.287;179.974;4;0;0.226;7
127;Goodbyes (Feat. Young Thug);Goodbyes (Feat. Young Thug);Post Malone;2019-07-05;174960;3;0.58;0.447;0.58;0.653;0.0;0.111;-3.818;0.0745;150.231;4;1;0.175;5
128;Work;ANTI (Deluxe);Rihanna;2016-01-28;219320;0;0.725;0.0752;0.725;0.534;0.0;0.0919;-6.238;0.0946;91.974;4;1;0.558;11
129;Take Me To Church;Hozier (Deluxe);Hozier;2014-05-20;241688;0;0.566;0.634;0.566;0.664;0.0;0.116;-5.303;0.0464;128.945;4;0;0.437;4
130;What Lovers Do (feat. SZA);Red Pill Blues (Deluxe);Maroon 5;2017-11-03;199849;1;0.795;0.0786;0.795;0.615;2.98e-06;0.0855;-5.211;0.0671;110.009;4;0;0.393;5
131;2002;Speak Your Mind (Deluxe);Anne-Marie;2018-04-27;186986;82;0.697;0.0372;0.697;0.683;0.0;0.137;-2.881;0.117;96.133;4;0;0.603;1
132;Stitches;Handwritten (Deluxe);Shawn Mendes;2015-04-13;206880;1;0.746;0.0152;0.746;0.754;0.0;0.0486;-6.681;0.067;149.882;4;1;0.764;1
133;Robbery;Death Race For Love;Juice WRLD;2019-03-08;240050;85;0.685;0.328;0.685;0.692;0.0;0.153;-5.122;0.0457;159.966;5;1;0.578;2
134;Can't Feel My Face;Beauty Behind The Madness;The Weeknd;2015-08-28;213520;1;0.702;0.124;0.702;0.77;0.0;0.103;-5.416;0.0482;107.951;4;0;0.593;9
135;Me Rehúso;Me Rehúso;Danny Ocean;2017-06-16;205714;76;0.744;0.0231;0.744;0.804;0.0;0.0494;-6.327;0.0677;104.823;4;1;0.426;1
136;Breaking Me;Breaking Me;Topic;2019-12-19;166793;86;0.789;0.223;0.789;0.72;0.0;0.129;-5.652;0.218;122.031;4;0;0.664;8
137;Callaita;Callaita;Bad Bunny;2019-05-31;250533;82;0.61;0.6;0.61;0.624;2.12e-06;0.243;-4.773;0.309;176.169;4;1;0.244;2
138;1-800-273-8255;Everybody;Logic;2017-05-05;250173;78;0.62;0.569;0.62;0.574;0.0;0.19;-7.788;0.0479;100.023;4;0;0.357;5
139;Heathens;Heathens;Twenty One Pilots;2016-06-16;195920;82;0.732;0.0841;0.732;0.396;3.58e-05;0.105;-9.348;0.0286;90.024;4;0;0.548;4
140;Lemonade (feat. Gunna, Don Toliver & NAV);B4 The Storm;Internet Money;2020-08-28;195428;83;0.8;0.25;0.8;0.658;0.0;0.111;-6.142;0.079;140.042;4;0;0.462;1
141;Hawái;PAPI JUANCHO;Maluma;2020-08-21;199112;82;0.783;0.185;0.783;0.727;2.46e-05;0.0626;-3.454;0.389;180.067;4;0;0.558;6
142;We Don't Talk Anymore (feat. Selena Gomez);Nine Track Mind;Charlie Puth;2016-01-29;217706;80;0.728;0.621;0.728;0.563;0.0;0.179;-8.053;0.134;100.017;4;0;0.352;1
143;Panda;New English;Desiigner;2016-06-26;246761;0;0.576;0.028;0.576;0.766;1.68e-06;0.366;-4.943;0.449;144.833;4;0;0.236;10
144;I Feel It Coming;Starboy;The Weeknd;2016-11-25;269186;4;0.769;0.429;0.769;0.813;0.0;0.0952;-5.9;0.143;92.985;4;0;0.567;0
145;Lalala;Lalala;Y2K;2019-06-28;160626;79;0.843;0.178;0.843;0.39;0.0;0.137;-7.899;0.0846;129.972;4;1;0.495;2
146;bury a friend;WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?;Billie Eilish;2019-03-29;193143;79;0.905;0.74;0.905;0.389;0.162;0.106;-14.505;0.332;120.046;4;1;0.196;8
147;Break My Heart;Future Nostalgia;Dua Lipa;2020-03-27;221820;82;0.73;0.167;0.73;0.729;1.39e-06;0.349;-3.434;0.0883;113.013;4;0;0.467;4
148;Light It Up (feat. Nyla & Fuse ODG) - Remix;Peace Is the Mission (Extended Edition);Major Lazer;2015-11-27;166138;49;0.746;0.0375;0.746;0.877;0.000833;0.233;-3.782;0.0666;107.985;4;0;0.751;9
149;Godzilla (feat. Juice WRLD);Music To Be Murdered By;Eminem;2020-01-17;210800;85;0.808;0.145;0.808;0.745;0.0;0.292;-5.26;0.342;165.995;4;0;0.829;10
150;Better;Suncity;Khalid;2018-10-18;229320;76;0.596;0.0765;0.596;0.552;0.334;0.104;-10.278;0.097;97.949;4;0;0.112;0
